"Folder","Id","Name","Version","Description"
"abbreviations","abbreviations","Abbreviations expander","1.1.0","Easily create abbreviations that will be expanded after hitting `Space`."
"obsidian-advanced-uri","obsidian-advanced-uri","Advanced URI","1.46.1","Advanced modes for Obsidian URI"
"note-atomizer","note-atomizer","Atomizer","1.2.0","Turn any text into insightful atomic notes."
"automatic-table-of-contents","automatic-table-of-contents","Automatic Table Of Contents","1.8.0","Create a table of contents in a note, that updates itself when the note changes"
"ayanite","ayanite","Ayanite","1.0.0","Advanced AI chat interface and knowledge copilot for professionals. Turn Obsidian into an Integrated Knowledge Environment. Supports Ollama and cloud GPT providers. (Closed source)"
"math-in-callout","math-in-callout","Better Math in Callouts & Blockquotes","0.3.8","Add better Live Preview support for math rendering inside callouts & blockquotes."
"obsidian42-brat","obsidian42-brat","BRAT","1.4.1","Easily install a beta version of a plugin for testing."
"buttons","buttons","Buttons","0.9.13","Create Buttons in your Obsidian notes to run commands, open links, and insert templates"
"claudian","claudian","Claudian","1.3.67","Embeds Claude Code as an AI collaborator in your vault. Your vault becomes Claude's working directory, giving it full agentic capabilities: file read/write, search, bash commands, and multi-step workflows."
"cmdr","cmdr","Commander","0.5.4","Customize your workspace by adding commands everywhere, create Macros and supercharge your mobile toolbar."
"copilot","copilot","Copilot","3.2.0","Your AI Copilot: Chat with Your Second Brain, Learn Faster, Work Smarter."
"dataview","dataview","Dataview","0.5.68","Complex data views for the data-obsessed."
"edge-tts","edge-tts","Edge TTS","3.4.3","Read notes aloud using Microsoft Edge Read Aloud API (free, high quality text-to-speech)."
"obsidian-epistemic-tagger","epistemic-tagger","Epistemic Tagger","1.0.0","Classify text selections with epistemic types and store in PostgreSQL. Supports multiple bundle profiles for different contexts."
"obsidian-excalidraw-plugin","obsidian-excalidraw-plugin","Excalidraw","2.20.6","Sketch Your Mind. An Obsidian plugin to edit and view Excalidraw drawings. Enter the world of 4D Visual PKM."
"folder-filelist","folder-filelist","Folder Filelist","1.2.0","Create and maintain a list of wikilinks to files in specified folders"
"folders2graph","folders2graph","Folders to Graph","1.1.0","Display your vault folder structure into your graphs."
"graph-banner","graph-banner","Graph Banner","2.3.3","Display a local graph view to the note header"
"obsidian-icon-folder","obsidian-icon-folder","Iconize","2.14.7","Add icons to anything you desire in Obsidian, including files, folders, and text."
"just-share-please","just-share-please","Just Share Please","0.2.0","Quickly and easily share individual notes online using an anonymized link. Also easy to self-host!"
"obsidian-link-converter","obsidian-link-converter","Link Converter","0.1.6","Scan all your links in the vault and convert them to your desired format."
"obsidian-local-rest-api","obsidian-local-rest-api","Local REST API","3.4.3","Get, change or otherwise interact with your notes in Obsidian via a REST API."
"longform","longform","Longform","2.1.0","Write novels, screenplays, and other long projects in Obsidian."
"note-definitions","note-definitions","Note Definitions","0.28.6","Personal dictionary for your notes"
"notemd","notemd","Notemd","1.6.5","Enhances notes using LLMs: 1) Processes text to add [[wiki-links]] and create concept notes. 2) Performs web research (Tavily/DuckDuckGo) and summarizes topics. 3) Generates content from note titles. 4) Translates notes/selections. 5) build powerful knowledge graphs Supports multiple LLM providers and customizable output."
"recent-files-obsidian","recent-files-obsidian","Recent Files","1.7.6","List files by most recently opened"
"obsidian-semantic-ai","obsidian-semantic-ai","Semantic AI","1.0.0","AI-enhanced semantic plugin with academic-level tagging, visual flow graphs, and metadata management. Supports axioms, claims, evidence bundles, relationships, and more."
"smart-connections","smart-connections","Smart Connections","4.1.8","Chat with your notes & see links to related content with Local or Remote models."
"copy-recursive-content","copy-recursive-content","Structured Copy: Files & Folders","1.0.10","Easily copy the contents of files and folders in a structured JSON format."
"obsidian-style-settings","obsidian-style-settings","Style Settings","1.0.9","Offers controls for adjusting theme, plugin, and snippet CSS variables."
"symlink-creator","symlink-creator","Symlink Creator","0.1.3","Create symlinks to files and folders inside and outside of your vault."
"obsidian-plugin-toc","obsidian-plugin-toc","Table of Contents","0.2.0","Create a table of contents for a note."
"templater-obsidian","templater-obsidian","Templater","2.18.1","Create and use templates"
"waypoint","waypoint","Waypoint","3.0.1","Easily generate dynamic content maps in your folder notes using waypoints. Enables folders to show up in the graph view and removes the need for messy tags!"
"webpage-html-export","webpage-html-export","Webpage HTML Export","1.9.2","Export html from single files, canvas pages, or whole vaults. Direct access to the exported HTML files allows you to publish your digital garden anywhere. Focuses on flexibility, features, and style parity."
